,id,text,created_at,retweets,replies,likes,lang,score,norm_score,politican,rank,links,classification category,classification source,open in twitter [yes/no],verified from twitter only [yes/no],translated_text,toxicity score,inflammatory score
10,1518321934752092160,"میں سوشل میڈیاکےاپنےتمام جنگجوؤں کاشکریہ اداکرتاہوں  جنہوں نےحکومت کی تبدیلی کی امریکی سازش کیخلاف ہماری جنگ کو دلیری سےسماجی میڈیاکےتمام پلیٹ فارمز تک توسیع دی۔🇵🇰کی خودمختاری وجمہوریت کی ہماری اس تحریک کوآگےبڑھاتےرہئے۔آپ ہمارےصفِ اوّل کے سپاہی ہیں!
#MarchAgainstImportedGovt",2022-04-24T20:12:12.000Z,61085,20544,163838,ur,79617.3510548523,0.5910377420515415,ImranKhanPTI,Top 10%,,,,,,"I thank all our social media warriors who have boldly extended our war against the US conspiracy to change the regime to all social media platforms. They continue to advance our movement for the independence and democracy of 🇵🇰. You are our frontline soldiers!
#MarchAgainstImportedGovt",0.049336795,0.2818933
11,1515648453375782917,Thank you Karachi for your momentous &amp; passionate support for our jalsa last night. This is our fight for democracy &amp; the sovereignty of Pakistan &amp; against a US-initiated regime change conspiracy abetted by local abettors &amp; corrupt political mafia.  #امپورٹڈ_حکومت_نامنظور,2022-04-17T11:08:45.000Z,66304,15213,159460,en,78834.7552742616,0.5852281586256783,ImranKhanPTI,Top 10%,,,,,,Thank you Karachi for your momentous &amp; passionate support for our jalsa last night. This is our fight for democracy &amp; the sovereignty of Pakistan &amp; against a US-initiated regime change conspiracy abetted by local abettors &amp; corrupt political mafia. #imported_government_disapproved,0.18364124,0.6503562
12,1514926027377569796,"کراچی میں ہمارے جلسے میں شرکت کیلئے آنے والوں سے میری گزارش ہے کہ وہ قومی پرچم اپنے ساتھ لے کر آئیں کیونکہ اب یہ امریکی شہ پر مقامی میرجعفروں کی معاونت سے حکومتیں بدلنےکیخلاف پاکستان کی خودمختاری اورحقیقی جمہوریت کی ایک جنگ ہے۔ 
#امپورٹڈ_حکومت_نامنظور",2022-04-15T11:18:05.000Z,56962,16315,167501,ur,77782.14852320674,0.5774141544021133,ImranKhanPTI,Top 10%,,,,,,"I request those who come to attend our meeting in Karachi to bring the national flag with them because now it is a battle for Pakistan's sovereignty and real democracy against the change of governments with the help of local Mir Jafars on the American side.
#imported_government_disapproved",0.04735767,0.38069567
13,1513580498936762372,بدھ کونمازِعشاءکےبعد میں پشاور میں ایک اجتماعِ عام سےخطاب کروں گاجوبیرونی اشاروں پر حکومت کی تبدیلی کے نتیجے میں ہٹائےجانےکےبعدمیراپہلا جلسہ ہوگا۔میں چاہتا ہوں کہ ہمارےسب لوگ بھرپور طریقےسےاس اجتماع میں شریک ہوں کیونکہ پاکستان غیرملکی طاقتوں کی ایک کٹھ پتلی کےطور پر نہیں بلکہ,2022-04-11T18:11:26.000Z,41279,20647,181120,ur,76790.20421940928,0.5700504765882983,ImranKhanPTI,Top 10%,,,,,,"On Wednesday after Isha prayer, I will address a public gathering in Peshawar, which will be my first meeting after being removed as a result of the change of government on external signals.",0.025910228,0.064212695
14,1521085880823431170,"My question for the Biden Administration: By indulging in a regime change conspiracy to remove a democratically elected PM of a country of over 220 mn people to bring in a puppet PM, do you think you have lessened or increased anti-American sentiment in Pakistan?",2022-05-02T11:15:09.000Z,58225,11711,152484,en,72447.77215189874,0.5378145228647762,ImranKhanPTI,Top 10%,,,,,,"My question for the Biden Administration: By indulging in a regime change conspiracy to remove a democratically elected PM from a country of over 220 million people to bring in a puppet PM, do you think you have lessened or increased anti-American sentiment in Pakistan?",0.25462922,0.29354018
15,1518316335217795072,I want to thank all our social media warriors who have valiantly taken our fight against US regime change conspiracy forward on all social media platforms.Continue carrying on our movement for Pak's sovereignty &amp; democracy. You are our frontline warriors.#MarchAgainstImportedGovt,2022-04-24T19:49:57.000Z,57552,15634,145583,en,71288.61518987341,0.5292095453763042,ImranKhanPTI,Top 10%,,,,,,I want to thank all our social media warriors who have valiantly taken our fight against US regime change conspiracy forward on all social media platforms. Continue carrying on our movement for Pak's sovereignty &amp; democracy. You are our frontline warriors. #MarchAgainstImportedGovt,0.08795626,0.26987106
16,1515684123074961408,"گزشتہ شب ہمارےجلسے کی نہایت پرجوش اور یادگارحمایت پر میں اہلِ کراچی کا مشکور ہوں۔ یہ مقامی سہولت کاروں اور بدعنوان سیاسی مافیا کی معاونت سے حکومت کی تبدیلی کی امریکی سازش کیخلاف پاکستان کی خودمختاری و جمہوریت (کے بقاء و تحفظ) کی جنگ ہے۔ 
  #امپورٹڈ_حکومت_نامنظور",2022-04-17T13:30:29.000Z,53754,12588,153386,ur,71170.45400843881,0.5283323783147533,ImranKhanPTI,Top 10%,,,,,,"I am grateful to the people of Karachi for the very enthusiastic and memorable support of our meeting last night. This is a war for Pakistan's sovereignty and democracy (survival and protection) against the US conspiracy to change the government with the support of local facilitators and corrupt political mafia.
  #imported_government_disapproved",0.20009702,0.71530426
17,1521362305476403200,ملک بھر میں اور بیرونِ ملک مقیم پاکستانیوں کو دلی عید مبارک! آئندہ عید پر ہم حقیقی آزادی کی منزل کیجانب گامزن ہوں گے، انشاءاللہ!,2022-05-03T05:33:33.000Z,43236,19443,157225,ur,70104.51308016876,0.5204193881052321,ImranKhanPTI,Top 10%,,,,,,"Happy Eid to all Pakistanis living in the country and abroad! On the next Eid, we will move towards the goal of true freedom, God willing!",0.054284602,0.5748135
18,1517462508633681920,بےمثال حمایت کے ساتھ متحرک اور پرجوش سامعین پر مشتمل اپنے 26 سالہ دورِ سیاست کے سب سے بڑے جلسے پر میں اہلِ لاہور کا شکرگزار ہوں۔ #امپورٹڈ_حکومت_نامنظور https://t.co/T9UC6x16xm,2022-04-22T11:17:09.000Z,50784,12474,149827,ur,68875.77130801688,0.5112978492326725,ImranKhanPTI,Top 10%,https://t.co/T9UC6x16xm,social media,twitter,yes,yes,I am grateful to the people of Lahore for the biggest rally in my 26 years of politics with a dynamic and enthusiastic audience with unprecedented support. #imported_government_disapproved https://t.co/T9UC6x16xm,0.01608456,0.12689088
19,1514588021269544964,میں اپنےان 123 MNAs کامشکورہوں جنکےاستعفےٰآج سپیکرقاسم سوری نےمنظورکئے۔ یہ عدالتوں سےسزایافتہ اورضمانتوں پرگھومنےوالےمجرموں کو اقتدار دلوانےکے لئےامریکی اشارےپرحکومت کی تبدیلی،جوعزتِ نفس کی حامل ایک آزادقوم کیلئےآخری درجےکی ہزیمت ہے،کیخلاف ایک خودمختار🇵🇰کیساتھ ڈٹ کرکھڑےہیں۔,2022-04-14T12:54:58.000Z,38196,12646,151146,ur,64231.61181434598,0.4768220282652632,ImranKhanPTI,Top 10%,,,,,,"I am grateful to our 123 MNAs whose resignations were accepted by Speaker Qasim Suri today. They are standing with a sovereign 🇵🇰 against the US-led change of government to give power to criminals convicted by the courts and out on bail, which is the ultimate defeat for a free and self-respecting nation.",0.07450261,0.42757678
20,1548729098830495745,"I want to first thank our PTI workers &amp; voters of Punjab for defeating not just PMLN candidates but the entire state machinery, esp harassment by police, &amp; a totally biased ECP. Thank you to all our Allies, PMLQ, MWM &amp; Sunni Ittehad Council. https://t.co/TgFqQ7EDj0",2022-07-17T17:59:25.000Z,41532,8856,137547,en,60400.07341772151,0.4483786830330847,ImranKhanPTI,Top 10%,https://t.co/TgFqQ7EDj0,social media,twitter,yes,yes,"I want to first thank our PTI workers &amp; voters of Punjab for defeating not just PMLN candidates but the entire state machinery, esp harassment by police, &amp; a totally biased ECP. Thank you to all our Allies, PMLQ, MWM &amp; Sunni Ittehad Council. https://t.co/TgFqQ7EDj0",0.09525062,0.43754458
21,1512125423982764045,I have called a cabinet mtg tomorrow as well as our parl party mtg; &amp; tomorrow evening I will address the nation. My message to our nation is I have always &amp; will continue to fight for Pak till the last ball.,2022-04-07T17:49:29.000Z,28715,23450,138109,en,59734.01856540084,0.4434342387532584,ImranKhanPTI,Top 10%,,,,,,I have called a cabinet mtg tomorrow as well as our parl party mtg; &amp; Tomorrow evening I will address the nation. My message to our nation is I have always &amp; will continue to fight for Pak till the last ball.,0.11129999,0.5479537
22,1522620740285059072,I want to thank the people of Mianwali for making it the biggest ever jalsa in their history; &amp; for their full support for Haqeeqi Azadi March to Islamabad. Ghulami namanzoor. #امپورٹڈ__حکومت__نامنظور https://t.co/rVpo5SRbV7,2022-05-06T16:54:08.000Z,48089,8479,121033,en,58018.87510548522,0.4307019071143346,ImranKhanPTI,Top 10%,https://t.co/rVpo5SRbV7,social media,twitter,yes,yes,I want to thank the people of Mianwali for making it the biggest ever jalsa in their history; &amp; for their full support for Haqeeqi Azadi March to Islamabad. Ghulami namanzoor. #imported__government__disapproved https://t.co/rVpo5SRbV7,0.049089402,0.15596698
23,1521108415732400129,بائیڈن انتظامیہ سےمیرا سوال ہےکہ:22 کروڑلوگوں کےدیس میں ایک منتخب جمہوری وزیراعظم کو ہٹانے اور ایک کٹھ پتلی کو لانے کیلئے حکومت کی تبدیلی کی ایک سازش کا حصہ بن کر کیا خیال ہے کہ آپ نے پاکستان میں امریکہ کیخلاف نفرت میں کمی کی ہے یا اضافہ کیا ہے؟,2022-05-02T12:44:41.000Z,46273,9939,121022,ur,57716.45569620252,0.4284569029481968,ImranKhanPTI,Top 10%,,,,,,"My question to the Biden administration is: By being part of a regime change conspiracy to remove an elected democratic prime minister and bring in a puppet in a country of 22 million people, do you think you have reduced or increased hatred of America in Pakistan? What is it?",0.2396185,0.44463095
24,1513569609546272768,"We are demanding immediate elections as that is the only way forward -- to let the people decide, through fair &amp; free elections, whom they want as their prime minister.",2022-04-11T17:28:10.000Z,35830,6206,138296,en,57528.92489451476,0.4270647719600874,ImranKhanPTI,Top 10%,,,,,,"We are demanding immediate elections as that is the only way forward -- to let the people decide, through fair &amp; free elections, whom they want as their prime minister.",0.024260364,0.32809865
25,1515652205973409803,"What happened in Punjab Assembly was condemnable &amp; against all democratic norms &amp; constitutional provisions. No one was in the Chair conducting the supposed elections - a total violation of all norms. We reject this sham mafia-captured ""elections"". #امپورٹڈ_حکومت_نامنظور",2022-04-17T11:23:40.000Z,51777,8544,110941,en,56522.69029535865,0.419595010437255,ImranKhanPTI,Top 10%,,,,,,"What happened in Punjab Assembly was condemnable &amp; against all democratic norms &amp; constitutional provisions. No one was in the chair conducting the supposed elections - a total violation of all norms. We reject this sham mafia-captured ""elections"". #imported_government_disapproved",0.23523538,0.6627404
26,1514581869043470338,ہمارےجلسےکو تاریخی اورعظیم الشان بنانےکیلئےپشاور میں نکلنےوالےتمام لوگوں کا تہہ دل سےمشکورہوں۔ ایک آزاد پاکستان کی حمایت میں اپنےولولے و ارادےکااظہارکرنے اورمجرموں کواقتداردلوانےکیلئےامریکی شہ پرحکومت کی تبدیلی یکسرمسترد کرنےوالا یہ مجمع اس امر کا ثبوت ہےکہ قوم کہاں کھڑی ہے,2022-04-14T12:30:31.000Z,33144,9574,134993,ur,56462.55443037974,0.4191485931000472,ImranKhanPTI,Top 10%,,,,,,"I am deeply grateful to all the people who came out in Peshawar for making our meeting historic and grand. This gathering, expressing their determination in support of an independent Pakistan and rejecting the US-led change of government to give power to criminals, is proof of where the nation stands.",0.11652588,0.326774
27,1512129702554587136,میں نے کل وفاقی کابینہ اور اپنی پارلیمانی پارٹی کے اجلاس طلب کئے ہیں جبکہ شام میں قوم سے مخاطب ہوں گا۔ قوم کیلئے میرا پیغام ہے کہ میں ہمیشہ پاکستان کیلئے لڑا ہوں اور آخری لمحے آخری گیند تک مقابلہ کرتا رہوں گا۔,2022-04-07T18:06:29.000Z,23553,22389,134623,ur,56292.93080168776,0.4178893956365241,ImranKhanPTI,Top 10%,,,,,,I have called the meetings of the federal cabinet and my parliamentary party tomorrow while I will address the nation in Syria. My message to the nation is that I have always fought for Pakistan and will continue to fight till the last ball.,0.0466155,0.4860284
28,1515034418095616003,"I salute our brave soldiers, seven of whom were martyred fighting a terrorist ambush in North Waziristan district. Our soldiers have been laying down their lives to keep our country safe from terrorists &amp; our entire nation stands with these brave men.",2022-04-15T18:28:47.000Z,35180,5265,133450,en,55542.29113924049,0.412317037786016,ImranKhanPTI,Top 10%,,,,,,"I salute our brave soldiers, seven of whom were martyred fighting a terrorist ambush in North Waziristan district. Our soldiers have been laying down their lives to keep our country safe from terrorists &amp; Our entire nation stands with these brave men.",0.103060275,0.7118385
29,1524084742718689280,"Thank you Jhelum for a record turnout and especially the participation of women and families. I am witnessing the formation of a nation. #امپورٹڈ__حکومت__نامنظور
#JhelumJalsa https://t.co/aXnra5GyCp",2022-05-10T17:51:33.000Z,40179,6297,118723,en,53483.37637130801,0.3970327270246971,ImranKhanPTI,Top 10%,https://t.co/aXnra5GyCp,social media,twitter,yes,yes,"Thank you Jhelum for a record turnout and especially the participation of women and families. I am witnessing the formation of a nation. #imported__government__disapproved
#JhelumJalsa https://t.co/aXnra5GyCp",0.017969469,0.20201628
30,1519693195617177600,Pakistan was created on 27th Ramazan 14th August 1947. Today on 27th Ramazan I will be offering Dua at 10.00 pm with Maulana Tariq Jameel for the success of our Movement for Haqeeqi Democracy &amp; the sovereignty of our beloved Pakistan. #MarchAgainstImportedGovt,2022-04-28T15:01:07.000Z,38316,7894,118979,en,53282.30632911392,0.3955400877675742,ImranKhanPTI,Top 10%,,,,,,Pakistan was created on 27th Ramazan 14th August 1947. Today on 27th Ramazan I will be offering Dua at 10.00 pm with Maulana Tariq Jameel for the success of our Movement for Haqeeqi Democracy &amp; the sovereignty of our beloved Pakistan. #MarchAgainstImportedGovt,0.11398677,0.25971302
31,1515689621002272769,"پنجاب اسمبلی میں جو کچھ ہوا وہ دستوری دفعات،جمہوری اقدارسےیکسرمتصادم اور نہایت قابلِ مذمت تھا۔انتخاب کےانعقادکیلئےکوئی بھی شخص کرسئ صدارت پر موجود نہ تھا جو اقدار سےکھلا انحراف ہے۔مافیا کےزیرِتسلط اس انتخابی ڈھکوسلے/جعلی انتخاب کو ہم یکسر مسترد کرتےہیں۔
#امپورٹڈ_حکومت_نامنظور",2022-04-17T13:52:20.000Z,44009,12456,105851,ur,53031.79915611814,0.3936804530028715,ImranKhanPTI,Top 10%,,,,,,"What happened in the Punjab Assembly was completely against the constitutional provisions, democratic values ​​and was highly condemnable. No one was present in the presidency to conduct the election, which is a clear deviation from the values.
#imported_government_disapproved",0.037577134,0.44593257
32,1519961113634512896,یوم القدس کے موقع پر آج ہم قابض اسرائیلی فوجیوں کے ظلم و استحصال کیخلاف اہلّ فلسطین سے مکمل یکجہتی کا اظہار کرتے ہیں۔ ہر رمضان ہمیں القدس میں مسلمانوں کے تیسرے مقدس ترین مقام مسجدِ اقصیٰ میں نمازیوں پر اسرائیلی فوجیوں کے نہایت قابلِ مذمت حملے دیکھنے کو ملتے ہیں۔,2022-04-29T08:45:43.000Z,37568,6693,120010,ur,52929.30886075949,0.3929196184366821,ImranKhanPTI,Top 10%,,,,,,"On the occasion of Al-Quds Day, today we express complete solidarity with the people of Palestine against the oppression and exploitation of the occupying Israeli soldiers. Every Ramadan we witness the most reprehensible attacks by Israeli soldiers on worshipers at Al-Aqsa Mosque, the third holiest site for Muslims in Al-Quds.",0.15600902,0.7160558
33,1512838397106298882,شاہین تھری کے کامیاب تجربے پر میں این سی اے، سٹریٹیجیک کمشنز اور سٹریٹیجیک فورسز کو مبارکباد پیش کرتا ہوں۔ ہمیں نہایت پیشہ ور اور مستقل لگن سے کام کرنے والے سائنسدانوں، انجینئرز اور ٹیکنیشنز پر مشتمل اپنی ٹیم پر بےحد فخر ہے جن کے باعث یہ تجربہ کامیاب ہوا۔ پاکستان زندہ باد!,2022-04-09T17:02:35.000Z,19219,10682,139623,ur,52543.09367088607,0.3900525580441361,ImranKhanPTI,Top 10%,,,,,,"I congratulate the NCA, Strategic Commissions and Strategic Forces for the successful Shaheen 3 experience. We are extremely proud of our team of highly professional and dedicated scientists, engineers and technicians who made this experiment a success. Pakistan Zindabad!",0.04686289,0.33644068
34,1514554546437066752,"Want to thank all those who came to our jalsa in Peshawar making it a mammoth &amp; historic jalsa. The passion &amp; commitment crowd showed in support of an indep sovereign Pak &amp; their total rejection of US-initiated regime change bringing to power criminals, shows where nation stands.",2022-04-14T10:41:57.000Z,30763,8560,124833,en,52171.48185654008,0.3872939055046989,ImranKhanPTI,Top 10%,,,,,,"Want to thank all those who came to our jalsa in Peshawar making it a mammoth &amp; historic jalsa. The passion &amp; Commitment crowd showed in support of an indep sovereign Pak &amp; their total rejection of US-initiated regime change bringing to power criminals, shows where the nation stands.",0.19314334,0.7080983
35,1521085038909169664,If anyone had any doubts abt US regime change conspiracy this video should remove all doubts as to why a democratically elected PM &amp; his govt were removed. Clearly the US wants an obedient puppet as PM who will not allow Pak choice of neutrality in a European war; https://t.co/rqFW8yQRvZ,2022-05-02T11:11:48.000Z,49624,7141,98198,en,51438.44978902953,0.3818522572673151,ImranKhanPTI,Top 10%,https://t.co/rqFW8yQRvZ,mainstream media,fox news,yes,yes,If anyone had any doubts abt US regime change conspiracy this video should remove all doubts as to why a democratically elected PM &amp; his govt were removed. Clearly the US wants an obedient puppet as PM who will not allow Pak to choose neutrality in a European war; https://t.co/rqFW8yQRvZ,0.25462922,0.47360352
36,1518970335067996160,جامعہ کراچی کے چینی اساتذہ پر دہشت گرد حملے کی شدید مذمت کرتا ہوں۔ یہ پاک-چین اسٹریٹیجیک اشتراک کو نقصان پہنچانے کے خصوصی ایجنڈے کے تحت کیا گیا ایک اور حملہ ہے۔ ہمیں اپنے دشمن کے اس بیرونی حمایت یافتہ ایجنڈے کو بہرصورت خاک میں ملانا ہے۔,2022-04-26T15:08:43.000Z,35340,6223,114523,ur,50254.17552742615,0.3730608220302198,ImranKhanPTI,Top 10%,,,,,,I strongly condemn the terrorist attack on Chinese teachers of University of Karachi. This is another attack carried out under the special agenda of undermining the Pakistan-China strategic partnership. We must destroy this foreign-backed agenda of our enemy.,0.22177623,0.7079953
37,1515041944396873736,میں اپنے جری جوانوں، جن میں سےسات نےضلع شمالی وزیرستان میں دہشت گردوں کےحملےکا مقابلہ کرتے ہوئے جامِ شہادت نوش کیا، کو سلام پیش کرتا ہوں۔ہمارے یہ سپاہی ہمارےوطن کو دہشت گردوں سےمحفوظ رکھنےکیلئے اپنی جانوں کے نذرانے پیش کررہے ہیں اور پوری قوم ان بہادر جوانوں کےساتھ کھڑی ہے۔,2022-04-15T18:58:42.000Z,33226,6303,117035,ur,50171.78734177214,0.3724492150554145,ImranKhanPTI,Top 10%,,,,,,"I salute our young soldiers, seven of whom died fighting the terrorist attack in North Waziristan district. These soldiers of ours are sacrificing their lives to keep our country safe from terrorists and the whole nation owes their lives to these brave men. Stands with the youth.",0.055521555,0.7279288
38,1518962999398072320,Strongly condemn the terrorist attack targeting Chinese teachers of Karachi University. This is yet another attack with a specific agenda of trying to undermine Pak-China strategic r'ship. We must ensure defeat of this foreign-backed agenda of our enemies.,2022-04-26T14:39:34.000Z,35351,5080,115126,en,50097.76118143459,0.3718996834008319,ImranKhanPTI,Top 10%,,,,,,Strongly condemn the terrorist attack targeting Chinese teachers of Karachi University. This is yet another attack with a specific agenda of trying to undermine Pak-China strategic r'ship. We must ensure the defeat of this foreign-backed agenda of our enemies.,0.15269235,0.52276015
39,1533506011302342656,ہمارے پیارے نبی پاک ﷺ پر بھارتیہ جنتا پارٹی کی ایک ترجمان کے نفرت انگیز حملے کی شدید ترین مذمت کرتا ہوں۔ مودی سرکار جان بوجھ کر بھارت میں جتھوں کو تشدد پر اکسانے کے ساتھ مسلمانوں کیخلاف اشتعال انگیزی اور نفرت کے فروغ کی سوچی سمجھی حکمتِ عملی پر کاربند ہے۔,2022-06-05T17:48:18.000Z,42047,2740,107833,ur,49934.83713080168,0.3706902201150511,ImranKhanPTI,Top 10%,,,,,,I strongly condemn the hateful attack on our beloved Prophet ﷺ by a spokesperson of Bharatiya Janata Party. The Modi government is engaged in a well-thought-out strategy of promoting hatred and incitement against Muslims by deliberately inciting jathas to violence in India.,0.32020867,0.7279288
40,1514921666823929859,RT @ImranKhanPTI: My request to all those attending our jalsa in Karachi is to carry our Pakistan flag as this is now a fight for Pakistan'…,2022-04-15T11:00:45.000Z,83453,0,0,en,89016.53333333333,1.0,fawadchaudhry,Top 10%,,,,,,RT @ImranKhanPTI: My request to all those attending our jalsa in Karachi is to carry our Pakistan flag as this is now a fight for Pakistan'…,0.16043124,0.4072784
41,1521092684424826881,RT @ImranKhanPTI: My question for the Biden Administration: By indulging in a regime change conspiracy to remove a democratically elected P…,2022-05-02T11:42:11.000Z,58012,0,0,en,61879.46666666667,0.6951457706733132,fawadchaudhry,Top 10%,,,,,,RT @ImranKhanPTI: My question for the Biden Administration: By indulging in a regime change conspiracy to remove a democratically elected P…,0.07212844,0.4016344
42,1514986227350802433,RT @PTIofficial: Chairman PTI @ImranKhanPTI message for overseas Pakistanis who also have rejected the imported government! #امپورٹڈ_حکومت_…,2022-04-15T15:17:18.000Z,48260,0,0,en,51477.33333333334,0.578289576168622,fawadchaudhry,Top 10%,,,,,,RT @PTIofficial: Chairman PTI @ImranKhanPTI message for overseas Pakistanis who have also rejected the imported government! #imported_government_…,0.077668175,0.1869902
43,1518978734107201536,RT @ImranKhanPTI: Strongly condemn the terrorist attack targeting Chinese teachers of Karachi University. This is yet another attack with a…,2022-04-26T15:42:06.000Z,35223,0,0,en,37571.2,0.4220699076126682,fawadchaudhry,Top 10%,,,,,,RT @ImranKhanPTI: Strongly condemn the terrorist attack targeting Chinese teachers of Karachi University. This is yet another attack with a…,0.11367676,0.49597982
44,1516149077058195468,"RT @ImranRiazKhan: Day          Tweets per day
2022-04-11  630,200*
2022-04-12  5,112,500
2022-04-13  8,029,300
2022-04-14  7,245,500
2022-…",2022-04-18T20:18:03.000Z,33135,0,0,en,35344.0,0.3970498364348796,fawadchaudhry,Top 10%,,,,,,"RT @ImranRiazKhan: Day Tweets per day
2022-04-11 630,200*
2022-04-12 5,112,500
2022-04-13 8,029,300
2022-04-14 7,245,500
2022-…",0.00823077,0.006423149
